trial,boundary_f1,line_f1,windowdiff,pk,val_accuracy,val_loss,training_time,training_time_minutes,total_params,attention_enabled,hidden_dim,num_layers,actual_epochs
24,0.37522768670309653,0.7565870320942603,0.3627455163033132,0.2713181553868262,0.0,0.4710824638605118,851.7282528877258,14.195470881462096,0,True,256,1,15
25,0.4114737883283877,0.7825496358628017,0.32855154859191416,0.2298277805805528,0.0,0.47578582912683487,2159.2320787906647,35.98720131317774,0,True,256,1,15
26,0.3943661971830986,0.7660534236872014,0.35619506449953514,0.25798418523659683,0.0,0.496378056704998,753.1575338840485,12.552625564734141,0,True,256,1,15
27,0.40236686390532544,0.7594492551715368,0.31353664917152124,0.22901199297747518,0.0,0.5065608993172646,2401.981912136078,40.03303186893463,0,True,256,2,15
28,0.41975308641975306,0.7711843333672552,0.30167079329198654,0.21750244397670776,0.0,0.5155918672680855,1326.2932028770447,22.10488671461741,0,True,256,2,15
29,0.3687258687258687,0.747352084016406,0.3764583321182576,0.2733322221550835,0.0,0.5060302242636681,1510.6766748428345,25.17794458071391,0,True,256,2,12
30,0.2811881188118812,0.7118356278700839,0.44017239582266676,0.3471673708254674,0.0,0.5311534851789474,735.1617159843445,12.252695266405741,0,True,256,2,8
31,0.33587786259541985,0.7244486903908924,0.4034933600296683,0.2961314987289687,0.0,0.528659038245678,1178.9792160987854,19.649653601646424,0,True,256,2,8
32,0.41735537190082644,0.7645671338020625,0.2957468427093755,0.22814764448329802,0.0,0.5129106119275093,1650.9518830776215,27.51586471796036,0,True,256,2,15
33,0.4365162644281217,0.7716985569997495,0.3047404152153571,0.2209793709431497,0.0,0.5145978331565857,2722.8047749996185,45.380079583326975,0,True,256,2,15
34,0.4066736183524504,0.766711446191929,0.3104748006224304,0.22517563949363925,0.0,0.5205587819218636,2251.705206155777,37.528420102596286,0,True,256,2,15
35,0.14550641940085593,0.5964768083754496,0.3694363393833957,0.34821577670305565,0.0,0.5890444219112396,4597.669586896896,76.62782644828161,0,True,256,2,12
36,0.33102081268582756,0.7257502747772069,0.3874038353120951,0.3064120937841348,0.0,0.5359890758991241,1866.1473231315613,31.10245538552602,0,True,256,2,15
37,0.39729990356798456,0.7473699035973447,0.34768959955819234,0.2490364498011592,0.0,0.5238255113363266,55896.03912091255,931.6006520152092,0,True,256,2,15
38,0.04609929078014184,0.5480196829569315,0.31818198791054697,0.3059464286675633,0.0,0.594824880361557,298.62130212783813,4.977021702130636,0,True,256,2,8
39,0.39794871794871794,0.764183891660727,0.3154543567104051,0.23788578406520214,0.0,0.5046427547931671,1772.9010770320892,29.548351283868154,0,True,256,2,15
40,0.05893186003683241,0.5272428808254214,0.3118533567325946,0.3010082462521768,0.0,0.5988850891590118,6454.572118997574,107.5762019832929,0,True,256,2,12
41,0.061488673139158574,0.5037428736676857,0.4578499020577268,0.45894440025248884,0.0,0.6010069698095322,756.5078241825104,12.608463736375173,0,True,256,2,8
